pair,signal,entry_time,exit_time,entry_price,exit_price,bars_held,exit_reason,pips,entry_mfc,entry_rsi,base_vel_h1,quote_vel_h1,win
USDJPY,SELL,2025-04-21 12:05:00,2025-04-21 19:00:00,140.997,140.646,82,RSI=19.9,33.10000000000275,0.9639249857142858,84.76821192052714,0.0014543399999999984,-0.017243300000000017,1
USDJPY,BUY,2025-05-15 08:05:00,2025-05-15 16:10:00,145.722,145.799,96,Timeout,5.699999999999817,-1.5003661414285714,15.79670329670374,-0.012391299999999994,0.006827429999999968,1
USDJPY,SELL,2025-07-07 04:05:00,2025-07-07 12:10:00,144.767,145.426,96,Timeout,-67.89999999999918,0.9547928257142856,91.66666666666966,0.014227569999999967,-0.02881417,0
USDJPY,SELL,2025-07-14 04:05:00,2025-07-14 12:10:00,147.289,147.247,96,Timeout,2.199999999997317,0.9554046314285712,80.81395348836594,-0.022113340000000037,0.012278299999999992,1
AUDJPY,SELL,2025-05-01 20:05:00,2025-05-01 21:15:00,93.005,92.776,13,RSI=17.5,20.89999999999992,0.5680886014285715,88.5964912280729,-0.05095648999999999,0.07441020999999992,1
AUDJPY,BUY,2025-05-16 08:05:00,2025-05-16 16:10:00,93.246,93.342,96,Timeout,7.600000000000363,-0.5616023257142857,8.015267175572376,0.06452512,-0.10998848000000003,1
AUDJPY,SELL,2025-07-14 00:05:00,2025-07-14 02:30:00,96.875,96.497,28,RSI=14.2,35.80000000000001,0.7909013414285715,80.75949367088685,0.017909879999999996,0.06092892,1
AUDUSD,SELL,2025-01-16 08:05:00,2025-01-16 12:50:00,0.62189,0.61985,56,RSI=13.3,18.400000000000414,0.7773318771428571,80.23255813953512,0.011414140000000003,0.005169640000000003,1
AUDUSD,BUY,2025-07-17 04:05:00,2025-07-17 06:35:00,0.64746,0.64916,29,RSI=81.7,14.999999999999236,-2.428615652857143,13.533834586464152,0.01959064999999993,0.027021870000000003,1
