timeframe,velocity_threshold,horizon_bars,n_trades,win_rate,avg_pips,total_pips,profit_factor,avg_win,avg_loss,time_equiv
H4,0.01,10,831,54.03128760529483,14.720818291215375,12232.999999999976,1.549402676726847,76.8351893095768,58.440944881889784,40h
H4,0.01,20,831,54.632972322503,18.64368231046933,15492.900000000014,1.4695999296792834,106.79427312775334,87.74388297872342,80h
H4,0.01,40,831,53.549939831528285,17.598555956678716,14624.400000000014,1.30286224328136,141.37460674157305,125.09663212435234,160h
H4,0.02,10,801,54.931335830212234,16.080149812734057,12880.199999999979,1.6145807984654792,76.90431818181817,58.215833333333364,40h
H4,0.02,20,801,55.0561797752809,20.31111111111113,16269.200000000015,1.5246690423593536,107.2056689342404,86.37465181058496,80h
H4,0.02,40,801,54.05742821473159,18.55518102372037,14862.700000000015,1.3238484333464071,140.3157043879908,124.71195652173913,160h
H4,0.03,10,741,56.00539811066126,17.95209176788121,13302.499999999976,1.7080279538644123,77.3267469879518,57.809538461538516,40h
H4,0.03,20,741,56.14035087719298,22.893252361673415,16963.9,1.6030729742508645,108.39663461538466,86.81820987654325,80h
H4,0.03,40,741,54.655870445344135,19.69257759784076,14592.200000000004,1.3438312912346846,140.82024691358026,126.30952380952381,160h
H4,0.04,10,677,56.12998522895125,18.959675036927603,12835.699999999986,1.7485027845001007,78.9057894736842,57.93412162162166,40h
H4,0.04,20,677,55.686853766617425,21.49837518463811,14554.400000000001,1.5636608678140438,107.09708222811673,86.35852842809368,80h
H4,0.04,40,677,53.91432791728212,18.566765140324975,12569.700000000008,1.319519362267854,142.21671232876716,126.0878205128205,160h
H4,0.05,10,607,56.83690280065898,19.697364085667207,11956.299999999996,1.8076125502381033,77.56753623188405,56.722222222222214,40h
H4,0.05,20,607,56.01317957166392,23.38517298187809,14194.8,1.6284444287029822,108.18235294117649,84.91428571428573,80h
H4,0.05,40,607,54.53047775947282,22.55996705107085,13693.900000000005,1.4036735921139518,143.8583081570997,122.91014492753622,160h
H4,0.06,10,525,57.714285714285715,21.534476190476166,11305.599999999988,1.9132001098528284,78.17095709570954,56.01900452488688,40h
H4,0.06,20,525,56.952380952380956,25.67752380952382,13480.700000000004,1.7154297662767746,108.10535117056858,83.74577777777777,80h
H4,0.06,40,525,54.85714285714286,23.904380952380965,12549.800000000007,1.432188388927536,144.4013888888889,122.52236286919832,160h
H1,0.01,40,2569,52.23822499026859,6.564227325807706,16863.499999999996,1.2018476115467343,74.82056631892696,68.14494290375202,40h
H1,0.01,80,2569,52.51070455430128,8.567536006228098,22009.99999999998,1.187969764281987,103.11586360266865,96.21470829909616,80h
H1,0.01,160,2565,50.37037037037037,8.422183235867447,21602.9,1.1285095194329684,146.8315789473684,132.15683962264148,160h
H1,0.02,40,2406,52.36907730673317,6.706275976724856,16135.300000000005,1.2056985141793568,75.0609523809524,68.44808027923212,40h
H1,0.02,80,2406,52.49376558603491,9.099625935162091,21893.69999999999,1.199188460121276,104.36120348376882,96.41622807017546,80h
H1,0.02,160,2402,50.45795170691091,8.549208992506246,20535.200000000004,1.1306574739673803,146.61996699669967,132.18519764507988,160h
H1,0.03,40,2161,52.429430819065246,7.389541878759833,15968.8,1.2264175555558705,76.3432480141218,68.60710116731518,40h
H1,0.03,80,2161,52.383155946321146,9.265340120314667,20022.399999999994,1.2032268803845623,104.72155477031804,96.02573099415207,80h
H1,0.03,160,2157,51.08947612424664,9.881733889661572,21314.90000000001,1.1519864577042132,146.60344827586206,133.05702087286525,160h
H1,0.04,40,1829,52.159650082012035,8.105358119190816,14824.700000000004,1.2506267909823245,77.54213836477989,67.60057142857144,40h
H1,0.04,80,1829,52.159650082012035,8.800601421541822,16096.299999999992,1.1909905313367661,105.21415094339622,96.64908256880736,80h
H1,0.04,160,1825,51.34246575342466,9.032328767123294,16484.00000000001,1.1370678587346252,145.93980789754536,135.42972972972973,160h
H1,0.05,40,1537,52.504879635653865,10.291476903057903,15817.999999999998,1.32670410538469,79.59714993804216,66.32452054794524,40h
H1,0.05,80,1537,52.17957059206246,10.721665582303176,16479.199999999983,1.2354692824839781,107.81009975062342,95.6072404371585,80h
H1,0.05,160,1534,51.499348109517605,11.591460234680586,17781.300000000017,1.1795996573917331,147.83101265822788,133.07150537634408,160h
H1,0.06,40,1239,52.38095238095239,11.47893462469732,14222.39999999998,1.3775664611904868,79.95531587057012,63.84508474576276,40h
H1,0.06,80,1239,53.34947538337369,13.728894269572214,17010.099999999973,1.3155365109398327,107.2898638426626,93.59114583333334,80h
H1,0.06,160,1237,51.899757477768794,13.665319320937753,16904.0,1.2208068384285409,145.57570093457946,128.66487394957983,160h
M5,0.01,480,4865,49.88694758478931,-0.30602261048305357,-1488.8000000000557,0.9902128996717032,62.06419447878041,62.47170431211503,40h
M5,0.01,960,4863,48.73534855027761,-3.9884639111659546,-19395.900000000038,0.9129269333970206,85.80523206751052,89.53147106109324,80h
M5,0.01,1920,4857,48.28083178917027,-5.4116121062384375,-26284.20000000009,0.9178738859441805,125.27189765458421,127.55950577919492,160h
M5,0.02,480,4840,48.34710743801653,-2.3178305785123867,-11218.299999999952,0.9293535690670364,63.06696581196583,63.69634977938227,40h
M5,0.02,960,4838,49.111202976436545,-2.952087639520471,-14282.200000000039,0.9354848909736124,87.16136363636362,90.02749084993899,80h
M5,0.02,1920,4834,49.917252792718244,-2.2318369880016737,-10788.700000000092,0.9645960111731254,121.81620389556569,125.92198347107441,160h
M5,0.03,480,4835,50.01034126163392,1.02587383660806,4960.099999999969,1.0330158506169378,64.18279569892472,62.286028192371475,40h
M5,0.03,960,4832,48.77897350993378,0.7883071192053054,3809.1000000000354,1.0178884147260665,91.95833686890116,86.13944174757282,80h
M5,0.03,1920,4828,49.275062137531066,0.9458574979287534,4566.600000000021,1.0151743021103663,128.4193358554014,122.88403429971417,160h
M5,0.04,480,4846,50.309533635988444,0.39859678085018485,1931.5999999999958,1.0125711176684207,63.81681706316654,63.94248855597172,40h
M5,0.04,960,4845,50.381836945304435,1.7567595459236267,8511.49999999997,1.0396734763129092,91.37660794756248,89.35393586005833,80h
M5,0.04,1920,4842,49.772821148285836,0.5768897149937898,2793.29999999993,1.0089875702993507,130.12,127.95220255249075,160h
M5,0.05,480,4869,50.03080714725816,0.8194701170671518,3989.999999999962,1.0264764432647642,63.501642036124785,62.04199258954302,40h
M5,0.05,960,4867,50.5444832545716,0.15917402917607906,774.6999999999769,1.0036907225040697,85.64203252032519,87.31476705490847,80h
M5,0.05,1920,4865,50.42137718396711,2.0505241521068767,9975.799999999956,1.0339429300930385,123.87892376681611,121.89929489838242,160h
M5,0.06,480,4845,49.08152734778122,-1.6017131062951433,-7760.299999999969,0.9503781918026154,62.50151387720775,63.4695211038961,40h
M5,0.06,960,4844,48.967795210569776,-1.5591659785301217,-7552.599999999909,0.9654238334103213,88.90434232715009,88.54223753546813,80h
M5,0.06,1920,4838,49.83464241422075,1.7488424968995562,8460.900000000052,1.0286928247760267,125.81480713396932,121.59942268041236,160h
